Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2025,23512.85,23715.05,23370.35,23619.95,33537481,4001.85
02-JAN-2025,23632.3,24046.65,23632.3,24006.7,83120440,11800.68
03-JAN-2025,24000.75,24035.15,23701.65,23735.7,95201966,11312.13
06-JAN-2025,23738.05,23801.8,23243.45,23317.85,76972967,9679.86
07-JAN-2025,23375.6,23519.1,23288.8,23430.3,58020848,7331.85
08-JAN-2025,23420.85,23444.95,23050.3,23236.05,72912953,8577.55
09-JAN-2025,23179.95,23221.1,22924.3,23026.15,83094306,10150.26
10-JAN-2025,23010.35,23030.5,22684.65,22730.2,79567941,8022.26
13-JAN-2025,22503.95,22659.5,22357.95,22400.45,82460984,8488.36
14-JAN-2025,22521.1,22809.15,22505.55,22722.15,98666299,10213.7
15-JAN-2025,22773.95,22821.9,22567.35,22680.1,77483290,8359.76
16-JAN-2025,22842.75,22994.85,22832.4,22943.75,111692020,11241.84
17-JAN-2025,22803.95,22839.3,22518.3,22608.2,94089211,10402.85
20-JAN-2025,22697.7,23025.5,22638.9,22926.7,110107288,12831.25
21-JAN-2025,23003.2,23009.4,22492.1,22548.9,99812879,12340.1
22-JAN-2025,22607.1,22679.2,22367.3,22650.4,106500032,11528.76
23-JAN-2025,22684.55,22719.55,22563.6,22625.85,93854176,11005.99
24-JAN-2025,22616.9,22736.25,22458.45,22513.5,82034875,8840.44
27-JAN-2025,22357.4,22494.2,22320.85,22383.1,87221183,9184.09
28-JAN-2025,22650.85,22984,22589.7,22805.9,137448459,15094.83
29-JAN-2025,22865.7,23060.5,22803.4,23044.95,77962517,8461.64
30-JAN-2025,23088.6,23197.25,23012.9,23133.7,100921758,14440.42
31-JAN-2025,23122.2,23267.75,23031.95,23220.55,74112705,8829.86
01-FEB-2025,23231.75,23387.3,22795.95,23170.25,75410831,7451.96
03-FEB-2025,22964.55,23164.6,22911.75,23132.45,97104252,11973.58
04-FEB-2025,23288.3,23648.8,23239.6,23620.7,115502146,13319.51
05-FEB-2025,23714.4,23743.8,23621.3,23664.4,83677004,10152.77
06-FEB-2025,23705.5,23734.3,23571.55,23660.4,104250874,11222.03
07-FEB-2025,23724.95,23780.45,23410.8,23539.75,120420747,11480.07
10-FEB-2025,23479.8,23532.4,23281.8,23400.35,66269023,7259.07
11-FEB-2025,23329.55,23358.8,22966,23089.6,84434719,8811.3
12-FEB-2025,23068.25,23310.1,22819.9,23192.8,98322119,10181.1
